id;infinitive;inf;third_m;third_f;first_pl;third_pl
1;být;být;byl;byla;byli jsme;byli
2;brát;brát;bral;brala;brali jsme;brali
3;čekat;čekat;čekal;čekala;čekali jsme;čekali
4;číst;číst;četl;četla;četli jsme;četli
5;dívat se;dívat se;díval se;dívala se;dívali jsme se;dívali se
6;jet;jet;jel;jela;jeli jsme;jeli
7;jít;jít;šel;šla;šli jsme;šli
8;kupovat;kupovat;kupoval;kupovala;kupovali jsme;kupovali
9;myslet;myslet;myslel;myslela;mysleli jsme;mysleli
10;mýt;mýt;myl;myla;myli jsme;myli
11;nést;nést;nesl;nesla;nesli jsme;nesli
12;opakovat;opakovat;opakoval;opakovala;opakovali jsme;opakovali
13;plavat;plavat;plaval;plavala;plavali jsme;plavali
14;potřebovat;potřebovat;potřeboval;potřebovala;potřebovali jsme;potřebovali
15;pracovat;pracovat;pracoval;pracovala;pracovali jsme;pracovali
16;psát;psát;psal;psala;psali jsme;psali
17;rozumět;rozumět;rozuměl;rozuměla;rozuměli jsme;rozuměli
18;spát;spát;spal;spala;spali jsme;spali
19;těšit se;těšit se;těšil se;těšila se;těšili jsme se;těšili se
20;učit;učit;učil;učila;učili jsme;učili
21;učit se;učit se;učil se;učila se;učili jsme se;učili se
22;umět;umět;uměl;uměla;uměli jsme;uměli
23;vařit;vařit;vařil;vařila;vařili jsme;vařili
24;vědět;vědět;věděl;věděla;věděli jsme;věděli
25;vidět;vidět;viděl;viděla;viděli jsme;viděli
26;zajímat se;zajímat se;zajímal se;zajímala se;zajímali jsme se;zajímali se
27;znát;znát;znal;znala;znali jsme;znali
28;žít;žít;žil;žila;žili jsme;žili
29;mít;mít;měl;měla;měli jsme;měli
30;líbit se;líbit se;líbil se;líbila se;líbili jsme se;líbili se
31;pít;pít;pil;pila;pili jsme;pili
32;stát;stát;stál;stála;stáli jsme;stáli
33;sedět;sedět;seděl;seděla;seděli jsme;seděli
34;poslouchat;poslouchat;poslouchal;poslouchala;poslouchali jsme;poslouchali
35;dokouovat;dokupovat;dokupoval;dokupovala;dokupovali jsme;dokupovali
36;jíst;jíst;jedl;jedla;jedli jsme;jedli
224;telefonovat;telefonovat;telefonoval;telefonovala;telefonovali jsme;telefonovali
225;uvažovat;uvažovat;uvažoval;uvažovala;uvažovali jsme;uvažovali
226;přemyslet;přemýšlet;přemýšlel;přemýšlela;přemýšleli jsme;přemýšleli
227;nakupovat;nakupovat;nakupoval;nakupovala;nakupovali jsme;nakupovali
228;prát si;přát si;přál si;přála si;přáli jsme si;přáli si
229;ptát se;ptát se;ptal se;ptala se;ptali jsme se;ptali se
230;půjčit si;půjčit si;půjčil si;půjčila si;půjčili jsme si;půjčili si
231;vzít si;vzít si;vzal si;vzala si;vzali jsme si;vzali si
232;cítit se;cítit se;cítil se;cítila se;cítili jsme se;cítili se
233;vzít;vzít;vzal;vzala;vzali jsme;vzali
234;cítit;cítit;cítil;cítila;cítili jsme;cítili
235;cítit se dobře;cítit se dobře;cítil se dobře;cítila se dobře;cítili jsme se dobře;cítili se dobře
236;bydlet;bydlet;bydlel;bydlela;bydleli jsme;bydleli
263;chtít;chtít;chtěl;chtěla;chtěli jsme;chtěli
315;sledovat;sledovat;sledoval;sledovala;sledovali jsme;sledovali
316;přicházet;přicházet;přicházel;přicházela;přicházeli jsme;přicházeli
317;dát;dát;dal;dala;dali jsme;dali
318;končit;končit;končil;končila;končili jsme;končili
443;dát si;dát si;dal si;dala si;dali jsme si;dali si
448;mít rád/ráda;mít rád;měl rád;měla ráda;měli jsme rádi;měli rádi
486;vybrat;vybrat;vybral;vybrala;vybrali jsme;vybrali
487;vybrat si;vybrat si;vybral si;vybrala si;vybrali jsme si;vybrali si
492;platit;platit;platil;platila;platili jsme;platili
493;zaplatit;zaplatit;zaplatil;zaplatila;zaplatili jsme;zaplatili
518;zpívat;zpívat;zpíval;zpívala;zpívali jsme;zpívali
519;ležet;ležet;ležel;ležela;leželi jsme;leželi
542;muset;muset;musel;musela;museli jsme;museli
543;smět;smět;směl;směla;směli jsme;směli
544;moct;moct;nemohl / mohl;nemohla / mohla;nemohli jsme / mohli jsme;nemohli / mohli
548;omlouvat se;omlouvat se;omlouval se;omlouvala se;omlouvali jsme se;omlouvali se
549;malovat;malovat;maloval;malovala;malovali jsme;malovali
559;vysvětlovat;vysvětlovat;vysvětloval;vysvětlovala;vysvětlovali jsme;vysvětlovali
560;vzpomínám na;vzpomínat na;vzpomínal na;vzpomínala na;vzpomínali jsme na;vzpomínali na
561;cestovat;cestovat;cestoval;cestovala;cestovali jsme;cestovali
562;hrát;;;;;
563;lyžovat;;;;;
564;přijedu;;;;;
565;odjedu;;;;;
566;přijdu;;;;;
567;odejdu;;;;;
568;odpočívat;;;;;
569;řikat;;;;;
570;snídat;;;;;
571;obědvat;;;;;
572;večeřet;;;;;
573;uklízet;;;;;
574;tancovat;;;;;
575;vstávat;;;;;
576;vzpomìnat si;;;;;
577;odpovídat;;;;;
578;vystupovat;;;;;
579;obléct se;;;;;
581;bolet;;;;;
596;cvičit;;;;;
597;divit se;;;;;
598;hádat se;;;;;
599;ochutnat;;;;;
601;nechat si;;;;;
602;objenat;;;;;
603;odcházet;;;;;
604;přinášet;;;;;
605;sportovat;;;;;
606;věřit;;;;;
607;vracet se;;;;;
617;všímat si;;;;;
618;účastnit se;;;;;
