id;left;right;info_left;info_right;tag_subject;tag_info;tag_src;tag_type;tag_1;tag_2;tag_3;tag_4;tag_5;_Alltag;_Einkaufen;_Essen;_Familie;_Farbe;_Haushalt;_Kalender;_Kleidung;_Land;_Monat;_Restaurant;_Tag;_Zahlen;_Küche;_Natur;_Tiere;_Sport;_notag;_misc;_Unit 1;_Unit 2;_Unit 3;_vhs;_Adjektiv;_Adverb;_Nomen;_Phrase;_Verb;_Prep;_Musik;_Technik;_Modalverb;_Mensch;_Hotel
1;být;sein;jsem;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2;brát;nehmen;beru;;czech;;Unit 2;Verb;Restaurant;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
3;čekat;warten;čekám;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
4;číst;lesen;čtu;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
5;dívat se;anschauen, beobachten;dívám se;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
6;jet;fahren;jedu;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
7;jít;gehen;jdu;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
8;kupovat;kaufen;kupuju;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
9;myslet;denken;myslím;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
10;mýt;waschen;myju;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
11;nést;tragen, bringen;nesu;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
12;opakovat;wiederholen;opakuju;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
13;plavat;schwimmen;plavu;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
14;potřebovat;brauchen;potřebuju;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
15;pracovat;arbeiten;pracuju;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
16;psát;schreiben;píšu;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
17;rozumět;verstehen;rozumím;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
18;spát;schlafen;spím;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
19;těšit se;sich freuen;těším;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
20;učit;lehren;učím;;czech;;Unit 2;Verb;;;;;notag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
